Unnamed: 0,년도,클럽명,선수명,출전시간,득점,도움,슈팅,스로인,드리블 시도,키패스,전방 패스 시도,횡패스 시도,공격지역패스 시도,수비지역패스 시도,중앙지역패스 시도,롱패스,숏패스 시도,크로스 시도,경합 지상 시도,경합 공중 시도,태클 시도,클리어링,인터셉트,차단,블락,파울,피파울,Position,Role,Detailed Role
17,2022,강원,서민우,2936,0,1,11,1,2,10,407,599,149,313,776,623,615,10,91,101,109,96,113,117,78,31,23,MF,CAM,Box crasher
18,2022,강원,강지훈,937,0,1,5,66,15,6,183,77,79,48,199,127,199,27,22,28,24,22,23,22,22,10,3,DF,FB,Safety
19,2022,강원,양현준,2910,8,4,70,1,56,22,184,357,346,92,369,229,578,47,114,183,67,20,32,31,37,37,41,FW,WF,Wide Threat
20,2022,강원,황문기,1247,3,0,21,0,9,4,162,168,123,56,258,176,261,27,39,51,36,23,29,23,18,22,24,MF,CDM,Builder
21,2022,경남,모재현,2582,6,6,52,22,34,27,172,281,243,67,348,237,421,127,84,106,46,20,44,34,34,30,51,FW,WF,Wide Threat
22,2022,경남,서재원,485,1,0,7,0,14,1,14,31,22,9,31,24,38,7,16,29,7,9,8,10,16,4,9,MF,CDM,Builder
23,2022,경남,김명준,2848,1,1,4,7,3,6,825,962,16,855,1007,1339,539,5,71,160,46,243,127,61,88,30,17,DF,CB,Aggressor
24,2022,경남,설현진,431,0,0,12,0,4,1,32,34,26,24,66,33,83,9,17,30,11,8,9,5,7,9,9,FW,WF,Wide Threat
25,2022,경남,정충근,1190,3,1,23,2,12,12,99,91,90,23,153,99,167,18,39,75,24,14,27,21,33,19,12,FW,CF,Finisher
26,2022,경남,김범용,1508,0,0,8,55,3,6,309,369,121,174,582,490,387,44,22,67,46,59,87,38,49,24,24,MF,CAM,Creator
27,2022,경남,손정현,2216,0,0,0,0,0,0,463,181,0,638,6,515,129,0,0,0,1,16,101,1,4,2,5,GK,GK,Goalkeeper
28,2022,경남,박재환,2453,2,0,14,3,2,2,500,568,21,513,635,776,393,4,48,220,21,226,89,35,65,13,8,DF,CB,Spreader
29,2022,경남,김세윤,268,0,2,0,3,1,3,16,34,7,11,50,28,40,7,3,3,7,2,10,6,7,4,0,MF,CAM,Box crasher
30,2022,경남,김영찬,1582,1,0,5,1,0,3,333,552,5,341,580,691,235,0,24,114,11,118,75,17,45,10,11,DF,CB,Aggressor
31,2022,경남,김종필,440,0,0,3,1,0,1,104,73,7,60,116,126,57,5,8,25,6,23,19,9,16,2,3,DF,CB,SCB
32,2022,경남,이준재,1837,1,1,7,214,61,16,285,237,197,209,405,400,411,121,48,76,48,108,57,38,60,24,11,DF,FB,Safety
33,2022,경남,에르난데스,2290,12,8,75,8,38,30,187,200,251,37,320,160,448,20,80,118,33,28,23,22,24,20,31,FW,CF,Roamer
34,2022,경남,박민서,1467,3,2,37,21,31,8,134,200,143,65,228,170,266,51,50,108,51,20,34,26,25,31,26,MF,CDM,Builder
35,2022,경남,이재명,749,0,1,2,57,4,6,119,134,73,93,186,200,152,40,13,20,12,18,24,15,18,9,5,DF,FB,Safety
36,2022,경남,엘리아르도,417,0,1,8,0,1,3,15,47,26,1,43,28,42,5,17,28,5,2,3,3,1,6,4,FW,CF,Finisher
37,2022,경남,카스트로,764,1,0,19,0,6,5,50,126,45,31,140,83,133,8,17,16,14,15,16,22,17,5,13,MF,CAM,Box crasher
38,2022,경남,이광진,2968,2,8,10,11,8,47,614,922,162,364,1328,1158,696,192,61,92,91,80,164,76,81,39,48,MF,CAM,Creator
39,2022,경남,이광선,729,0,0,2,1,0,0,110,152,23,130,134,190,97,1,17,77,4,68,28,13,19,4,4,DF,CB,Spreader
40,2022,경남,박광일,1557,0,6,2,131,5,26,260,273,163,167,474,398,406,96,31,37,27,45,44,23,26,18,10,DF,FB,Safety
41,2022,경남,우주성,860,0,0,4,92,6,3,162,208,64,113,282,279,180,32,16,32,19,37,38,16,19,8,9,DF,FB,Progressor
42,2022,경남,이우혁,2544,0,1,16,1,2,13,423,817,101,328,1092,937,584,52,48,99,59,86,110,58,92,30,17,MF,CAM,Creator
