Column1,Unnamed: 0,클럽명,선수명,출전 경기,득점,도움,공격 지역 패스,중앙 지역 패스,수비 지역 패스,태클,클리어링,인터셉트,차단,획득,블락,SHO,DRI,PHY,LOP,SHP,TAK,Position,Role,Detailed Role,url
544,544,제주,진성욱,9,2,1,92,93,10,21,3,8,3,40,9,40,43,41,56,70,14,FW,CF,Roamer,https://www.youtube.com/watch?v=aVb-9A4ag-0
545,545,제주,주민규,31,17,7,271,359,17,28,18,10,8,86,13,56,50,43,78,74,11,FW,CF,Roamer,https://www.youtube.com/watch?v=SmQ6hoRX96I
546,546,제주,안태현,3,0,1,70,118,26,10,8,9,11,25,14,0,100,62,75,90,40,FW,WF,Unlocker,
547,547,제주,안현범,28,1,0,469,581,129,42,69,46,34,121,48,62,58,44,72,89,40,DF,FB,Safety,https://www.youtube.com/watch?v=n_F8XEMse6o
548,548,제주,조나탄 링,15,5,2,265,264,31,26,5,14,17,88,12,58,29,35,82,84,27,FW,WF,Wide Threat,https://www.youtube.com/watch?v=IF3lHXz5eiU
549,549,제주,제르소,31,8,7,301,231,32,75,9,30,35,154,45,70,46,35,81,80,27,FW,WF,Wide Threat,https://www.youtube.com/watch?v=32Um4XLF6Xo
550,550,제주,최영준,37,0,1,399,1596,296,124,67,134,103,278,109,36,50,47,85,88,37,MF,CAM,Creator,https://www.youtube.com/watch?v=_ztSLf_Jv-8
551,551,제주,김근배,4,0,0,0,2,118,0,3,24,3,11,1,0,0,0,64,100,0,GK,GK,Goalkeeper,
552,552,제주,김경재,14,0,0,47,544,251,22,71,71,23,36,41,0,50,48,89,93,9,DF,CB,Aggressor,https://www.youtube.com/watch?v=OvkHXb_NKe0
553,553,제주,조성준,20,0,5,286,399,102,42,27,45,39,106,31,57,53,39,80,87,26,FW,WF,Unlocker,https://www.youtube.com/watch?v=mIxBdXOlKl0
554,554,제주,김범수,5,1,0,41,42,7,25,1,3,14,25,5,50,40,28,75,76,20,FW,WF,Wide Threat,https://www.youtube.com/watch?v=-B6UoVe2fNs
555,555,제주,정운,34,0,2,216,1422,461,37,211,175,57,163,93,22,0,53,87,95,46,DF,CB,Aggressor,https://www.youtube.com/watch?v=2LFzGTk8scs
556,556,제주,정우재,26,0,1,483,625,191,40,62,84,48,144,47,50,72,60,76,86,48,DF,FB,Safety,https://www.youtube.com/watch?v=_eJeifOzbsQ&t=101s
557,557,충남아산,최범경,17,1,2,244,223,40,15,9,26,11,122,16,73,50,29,76,83,33,FW,WF,Unlocker,https://www.youtube.com/watch?v=hV8Cw-Qj5Dg
558,558,충남아산,이학민,20,2,1,333,433,164,70,78,81,53,153,57,50,53,57,61,84,37,DF,FB,Safety,https://www.youtube.com/watch?v=sp461A3bn0o
559,559,충남아산,김혜성,9,0,0,69,255,35,11,60,58,12,75,34,40,0,64,78,76,45,MF,CAM,Box crasher,https://www.youtube.com/watch?v=vw_MKeZTwrU
560,560,충남아산,이재성,20,0,0,5,397,257,20,136,85,26,73,52,27,0,67,83,89,25,DF,CB,Spreader,https://www.youtube.com/watch?v=eYKpT-qgYsw
561,561,충남아산,박철우,15,1,0,201,274,89,49,56,48,44,110,41,50,34,53,53,77,24,DF,FB,Safety,https://www.youtube.com/watch?v=GgPniuzCbxo
562,562,충남아산,양정운,2,0,0,22,15,3,2,3,2,7,14,2,67,33,35,80,80,50,FW,WF,Wide Threat,
563,563,충남아산,김종국,3,0,0,23,90,13,10,16,17,5,28,8,50,0,54,71,75,50,MF,CAM,Box crasher,
564,564,충남아산,유준수,4,0,0,5,99,34,12,19,19,10,15,10,0,0,64,82,84,33,DF,CB,SCB,
565,565,충남아산,이호인,17,0,1,49,386,129,10,104,85,28,98,35,0,0,61,69,85,80,DF,CB,SCB,https://www.youtube.com/watch?v=DJeSqknHZNI
566,566,충남아산,김강국,35,5,3,329,857,128,65,86,142,49,314,67,62,67,55,78,83,26,MF,CDM,Box to Box,https://www.youtube.com/watch?v=Io--KBcaZTw
567,567,충남아산,이은범,40,0,0,131,806,237,50,276,203,87,184,94,30,38,66,76,87,42,DF,CB,Spreader,https://www.youtube.com/watch?v=ZuOPmC_fvm4
568,568,충남아산,박세직,40,2,1,367,1036,132,113,145,157,106,388,107,50,63,52,80,80,30,MF,CAM,Box crasher,https://www.youtube.com/watch?v=2WElF4uXF6Y
569,569,충남아산,박성우,21,0,0,271,366,88,35,91,84,31,129,64,53,30,43,61,81,34,DF,FB,Safety,https://www.youtube.com/watch?v=qhUv8z4fDj8
570,570,충남아산,강민규,13,2,0,172,106,27,15,12,11,21,75,16,52,15,48,68,66,33,FW,WF,Wide Threat,https://www.youtube.com/watch?v=ymfUBK8pJFk
571,571,충남아산,정건우,2,0,0,16,19,2,4,0,2,1,9,1,80,67,27,55,69,50,FW,CF,Finisher,
572,572,충남아산,이승재,2,0,1,23,16,5,7,0,3,1,15,2,60,33,26,69,71,43,FW,WF,Wide Threat,
573,573,충남아산,김채운,24,0,2,287,397,140,60,92,62,56,133,50,55,41,51,62,79,38,DF,FB,Safety,https://www.youtube.com/watch?v=-uk1sMc345E
574,574,충남아산,송승민,38,3,4,565,343,43,64,56,45,37,181,78,56,20,42,63,64,28,FW,WF,Outlet,https://www.youtube.com/watch?v=qZ591d3M1FU
575,575,충남아산,박주원,27,0,1,0,30,649,0,21,109,0,45,3,0,0,0,35,94,0,GK,GK,Swiper goalkeeper,https://www.youtube.com/watch?v=Px2p_LmMbuE
576,576,충남아산,조주영,6,1,0,74,59,3,12,1,8,4,23,5,35,33,33,67,77,8,FW,CF,Roamer,https://www.youtube.com/watch?v=S52tcA6SbdA
577,577,충남아산,유강현,33,19,2,354,333,19,39,18,19,20,141,40,59,33,31,66,67,36,FW,CF,Roamer,https://www.youtube.com/watch?v=JkjbK5FrwmI
578,578,충남아산,박한근,14,0,0,0,9,322,0,17,57,0,29,5,0,0,0,39,95,0,GK,GK,Goalkeeper,https://www.youtube.com/watch?v=Ii5JDKhbJHI
579,579,충남아산,유동규,3,0,0,30,31,8,4,2,4,4,21,4,33,50,39,67,74,25,FW,WF,Wide Threat,
580,580,충남아산,배수용,8,0,0,5,132,45,8,64,17,10,21,15,100,0,48,69,87,50,DF,CB,Spreader,https://www.youtube.com/watch?v=lh4I7JZLsSU
581,581,포항,윤평국,19,0,0,0,2,388,0,18,82,0,18,2,0,0,0,48,100,0,GK,GK,Goalkeeper,https://www.youtube.com/watch?v=PZng5JdvMx0
582,582,포항,이광혁,10,1,0,120,186,45,16,5,11,11,53,16,65,38,35,88,85,12,FW,WF,Wide Threat,https://www.youtube.com/watch?v=-Nwx-Lew8Rc
583,583,포항,이수빈,21,0,1,125,912,210,75,38,79,49,180,41,57,56,39,88,87,24,MF,CAM,Creator,https://www.youtube.com/watch?v=vpVXb4_ZJ68
584,584,포항,박승욱,28,0,2,207,801,491,78,136,109,89,111,87,20,17,52,86,89,42,DF,FB,Progressor,https://www.youtube.com/watch?v=gGC5OEANzYU
585,585,포항,허용준,21,10,5,194,202,15,28,11,10,11,49,12,54,36,46,72,78,32,FW,CF,Roamer,https://www.youtube.com/watch?v=TQGXEVzj7is
586,586,포항,모세스,5,1,0,50,58,8,10,7,4,4,20,1,29,20,41,92,76,50,FW,CF,Roamer,https://www.youtube.com/watch?v=4ExtASvV6pI
587,587,포항,고영준,31,6,4,343,501,82,76,10,36,41,150,44,54,28,25,75,84,24,FW,WF,Wide Threat,https://www.youtube.com/watch?v=WC5jHNrrfkk
588,588,포항,김용환,9,0,1,118,248,119,28,32,40,26,46,13,0,22,51,77,87,39,DF,FB,Safety,https://www.youtube.com/watch?v=DCEJ22clk9k
589,589,포항,박찬용,33,0,0,18,802,728,56,239,120,81,80,87,18,0,62,88,94,36,DF,CB,Aggressor,https://www.youtube.com/watch?v=2TP35lzN2mM
590,590,포항,심상민,26,0,0,295,696,297,55,78,92,32,116,57,50,44,47,74,91,42,DF,FB,Safety,https://www.youtube.com/watch?v=-YIZhxKWWlE
591,591,포항,이승모,20,1,3,158,674,127,68,53,60,37,112,66,63,50,40,87,83,26,MF,CAM,Box crasher,https://www.youtube.com/watch?v=bCRh83qt6nw
592,592,포항,이호재,2,1,0,23,29,2,6,5,3,3,9,4,50,0,53,59,76,0,FW,CF,Roamer,
593,593,포항,김승대,17,6,1,206,208,73,25,3,13,7,75,11,76,0,29,80,84,28,FW,CF,Target,https://www.youtube.com/watch?v=nQ7ghyR6rJ4
594,594,포항,임상협,31,8,2,302,348,80,43,52,38,32,128,42,74,54,36,88,84,26,FW,WF,Wide Threat,https://www.youtube.com/watch?v=f1Gf3xk7ltc
595,595,포항,완델손,17,2,1,261,410,138,57,20,43,55,75,33,44,48,44,81,89,46,FW,WF,Unlocker,https://www.youtube.com/watch?v=VZ3H3lyOwKU
596,596,포항,신광훈,29,0,2,280,893,330,67,87,82,65,174,43,0,40,52,82,87,37,DF,FB,Progressor,https://www.youtube.com/watch?v=V_aPSTqvS2I
597,597,포항,그랜트,27,2,0,18,675,533,31,217,141,45,81,100,50,50,67,88,91,45,DF,CB,Spreader,https://www.youtube.com/watch?v=-Ejx_QfVXL0
598,598,포항,신진호,32,4,10,439,1761,458,88,62,141,55,277,63,57,56,52,87,92,39,MF,CAM,Creator,https://www.youtube.com/watch?v=ZuRTyaLq-lI
599,599,포항,강현무,20,0,0,0,2,575,0,26,86,0,31,6,0,0,0,63,100,0,GK,GK,Goalkeeper,https://www.youtube.com/watch?v=cAqyQ7-Mq0s
600,600,포항,정재희,23,7,3,302,314,78,36,20,32,19,147,37,58,30,39,73,80,19,FW,WF,Wide Threat,https://www.youtube.com/watch?v=yZTTIShIits
601,601,안산,이상민95,36,5,2,346,917,195,120,60,98,86,237,90,70,29,45,85,85,36,MF,CAM,Box crasher,https://www.youtube.com/watch?v=8R-bbGLmoXM
602,602,서울,이상민98,25,1,4,48,1235,657,48,137,129,44,93,75,57,0,58,94,95,35,DF,CB,Aggressor,https://www.youtube.com/watch?v=SKmifq8Kzsw
603,603,충남아산,이상민99,38,1,0,64,853,292,53,313,200,69,182,136,47,71,63,74,84,36,DF,CB,Spreader,https://www.youtube.com/watch?v=R-VOqNaJuIQ
604,604,광주,김경민91,40,1,0,24,23,751,4,27,166,3,79,7,78,36,32,57,96,50,GK,GK,Goalkeeper,https://www.youtube.com/watch?v=VTS_JQFOGPQ
605,605,경남,이민기01,31,1,1,226,700,346,69,140,89,82,152,98,67,38,62,75,91,33,DF,FB,Safety,https://www.youtube.com/watch?v=2jb9kgdIvFU
606,606,안산,티아고95,12,5,1,140,154,15,15,15,7,8,37,9,61,50,40,71,65,0,FW,WF,Wide Threat,https://www.youtube.com/watch?v=nvd7AXZ2UW0
